TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
936.2708,98.7446
937.2350,98.7663
938.1992,98.7874
939.1635,98.8046
940.1277,98.817
941.0919,98.826
942.0562,98.8342
943.0204,98.8434
943.9846,98.8531
944.9489,98.861
945.9131,98.8646
946.8773,98.8627
947.8416,98.8566
948.8058,98.8494
949.7700,98.8446
950.7343,98.8441
951.6985,98.8475
952.6627,98.853
953.6270,98.8579
954.5912,98.8601
955.5554,98.8589
956.5197,98.8545
957.4839,98.848
958.4481,98.8408
959.4124,98.834
960.3766,98.8286
961.3408,98.8248
962.3051,98.8223
963.2693,98.8201
964.2335,98.8168
965.1978,98.8111
966.1620,98.8018
967.1262,98.7884
968.0905,98.7716
969.0547,98.7527
970.0189,98.7342
970.9832,98.7189
971.9474,98.7099
972.9116,98.7088
973.8759,98.7156
974.8401,98.7277
975.8043,98.7403
976.7686,98.7484
977.7328,98.7482
978.6970,98.7387
979.6613,98.7219
980.6255,98.701
981.5897,98.6786
982.5540,98.6544
983.5182,98.6258
984.4824,98.5887
985.4467,98.5403
986.4109,98.4811
987.3751,98.4155
988.3394,98.3503
989.3036,98.2923
990.2678,98.2458
991.2321,98.2118
992.1963,98.1883
993.1605,98.1721
994.1248,98.1609
995.0890,98.1541
996.0532,98.152
997.0175,98.155
997.9817,98.1624
998.9459,98.1721
999.9102,98.1815
1000.8744,98.1883
1001.8386,98.191
1002.8029,98.1888
1003.7671,98.181
1004.7313,98.1666
1005.6956,98.1448
1006.6598,98.1153
1007.6240,98.0787
1008.5883,98.0361
1009.5525,97.9883
1010.5167,97.9356
1011.4810,97.8781
1012.4452,97.816
1013.4094,97.7508
1014.3737,97.6852
1015.3379,97.622
1016.3021,97.5635
1017.2664,97.5102
1018.2306,97.4616
1019.1948,97.4169
1020.1591,97.3763
1021.1233,97.3411
1022.0875,97.3131
1023.0518,97.2929
1024.0160,97.2791
1024.9802,97.2686
1025.9445,97.2581
1026.9087,97.2454
1027.8729,97.2305
1028.8372,97.2153
1029.8014,97.2021
1030.7656,97.1922
1031.7299,97.1855
1032.6941,97.1807
1033.6583,97.1766
1034.6226,97.1729
1035.5868,97.1698
1036.5510,97.168
1037.5153,97.167
1038.4795,97.1654
1039.4437,97.1611
1040.4080,97.1523
1041.3722,97.1386
1042.3364,97.1208
1043.3007,97.1002
1044.2649,97.078
1045.2291,97.0551
1046.1934,97.0324
1047.1576,97.0122
1048.1218,96.9977
1049.0861,96.9921
1050.0503,96.9969
1051.0145,97.0099
1051.9788,97.0258
1052.9430,97.0379
1053.9072,97.0408
1054.8715,97.0319
1055.8357,97.0116
1056.7999,96.9827
1057.7642,96.9483
1058.7284,96.9117
1059.6926,96.8756
1060.6569,96.8422
1061.6211,96.8124
1062.5853,96.786
1063.5496,96.7616
1064.5138,96.7374
1065.4780,96.7125
1066.4423,96.6873
1067.4065,96.6629
