TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
2021.0333,106.353
2022.9618,106.381
2024.8903,106.397
2026.8187,106.38
2028.7472,106.308
2030.6757,106.174
2032.6041,105.999
2034.5326,105.82
2036.4611,105.678
2038.3895,105.591
2040.3180,105.549
2042.2465,105.523
2044.1749,105.488
2046.1034,105.431
2048.0320,105.363
2049.9604,105.304
2051.8889,105.27
2053.8174,105.264
2055.7458,105.278
2057.6743,105.3
2059.6028,105.32
2061.5313,105.333
2063.4597,105.337
2065.3882,105.332
2067.3167,105.319
2069.2451,105.298
2071.1736,105.274
2073.1021,105.25
2075.0305,105.229
2076.9590,105.207
2078.8875,105.181
2080.8159,105.15
2082.7444,105.122
2084.6729,105.105
2086.6013,105.109
2088.5298,105.135
2090.4583,105.175
2092.3867,105.215
2094.3152,105.239
2096.2437,105.239
2098.1721,105.217
2100.1006,105.18
2102.0291,105.141
2103.9575,105.108
2105.8860,105.09
2107.8145,105.09
2109.7429,105.109
2111.6714,105.143
2113.5999,105.184
2115.5283,105.227
2117.4568,105.267
2119.3853,105.305
2121.3137,105.344
2123.2422,105.384
2125.1707,105.423
2127.0991,105.455
2129.0276,105.475
2130.9561,105.48
2132.8845,105.471
2134.8130,105.453
2136.7415,105.429
2138.6699,105.397
2140.5984,105.354
2142.5269,105.302
2144.4553,105.251
2146.3838,105.216
2148.3123,105.211
2150.2407,105.232
2152.1692,105.253
2154.0977,105.227
2156.0261,105.108
2157.9546,104.881
2159.8831,104.594
2161.8115,104.334
2163.7400,104.169
2165.6685,104.111
2167.5969,104.125
2169.5254,104.164
2171.4539,104.195
2173.3823,104.199
2175.3108,104.181
2177.2393,104.152
2179.1677,104.131
2181.0962,104.125
2183.0247,104.136
2184.9531,104.155
2186.8816,104.172
2188.8101,104.179
2190.7385,104.176
2192.6670,104.168
2194.5955,104.16
2196.5239,104.16
2198.4524,104.168
2200.3809,104.18
2202.3093,104.19
2204.2378,104.189
2206.1663,104.179
2208.0947,104.164
2210.0232,104.152
2211.9517,104.152
2213.8801,104.163
2215.8086,104.181
2217.7371,104.198
2219.6655,104.208
2221.5940,104.21
2223.5225,104.212
2225.4509,104.221
2227.3794,104.243
2229.3079,104.274
2231.2363,104.306
2233.1648,104.327
2235.0933,104.328
2237.0217,104.312
2238.9502,104.284
2240.8787,104.255
2242.8071,104.231
2244.7356,104.207
2246.6641,104.178
2248.5925,104.135
2250.5210,104.081
2252.4495,104.025
2254.3779,103.98
2256.3064,103.957
2258.2349,103.956
2260.1633,103.967
2262.0918,103.973
2264.0203,103.962
2265.9487,103.932
2267.8772,103.893
2269.8057,103.858
2271.7341,103.838
2273.6626,103.831
2275.5911,103.825
2277.5195,103.805
2279.4480,103.759
2281.3765,103.682
2283.3049,103.577
2285.2334,103.449
2287.1619,103.302
2289.0903,103.136
2291.0188,102.954
2292.9473,102.759
2294.8757,102.555
2296.8042,102.345
2298.7327,102.123
2300.6611,101.879
2302.5896,101.6
2304.5181,101.284
2306.4465,100.937
2308.3750,100.579
2310.3035,100.223
2312.2319,99.869
2314.1604,99.4999
2316.0889,99.094
2318.0173,98.6435
2319.9458,98.1671
2321.8743,97.7064
2323.8027,97.3081
2325.7312,97.0024
2327.6597,96.7923
2329.5881,96.6529
2331.5166,96.5418
2333.4451,96.4186
2335.3735,96.271
2337.3020,96.1376
2339.2305,96.1014
2341.1589,96.2297
2343.0874,96.501
2345.0159,96.8058
2346.9443,97.0159
2348.8728,97.0353
2350.8013,96.8031
2352.7297,96.2867
2354.6582,95.5013
2356.5867,94.5693
2358.5151,93.76
2360.4436,93.3785
2362.3721,93.5387
2364.3005,94.1273
2366.2290,94.9761
2368.1575,95.9681
2370.0859,97.026
2372.0144,98.0862
2373.9429,99.1001
2375.8713,100.04
2377.7998,100.895
2379.7283,101.661
2381.6567,102.334
2383.5852,102.907
2385.5137,103.372
2387.4421,103.726
2389.3706,103.972
2391.2991,104.123
2393.2275,104.203
2395.1560,104.235
2397.0845,104.24
2399.0129,104.231
2400.9414,104.215
2402.8699,104.194
2404.7983,104.171
2406.7268,104.149
2408.6553,104.129
2410.5837,104.109
2412.5122,104.089
2414.4407,104.068
2416.3691,104.051
2418.2976,104.039
2420.2261,104.034
2422.1545,104.03
2424.0830,104.024
2426.0115,104.013
2427.9399,103.999
2429.8684,103.985
2431.7969,103.974
2433.7253,103.966
2435.6538,103.958
2437.5823,103.95
2439.5107,103.941
2441.4392,103.931
2443.3677,103.923
2445.2961,103.913
2447.2246,103.902
2449.1531,103.888
2451.0815,103.874
2453.0100,103.862
2454.9385,103.854
2456.8669,103.852
2458.7954,103.857
2460.7239,103.867
2462.6523,103.879
2464.5808,103.888
2466.5093,103.887
2468.4377,103.873
2470.3662,103.845
2472.2947,103.812
2474.2231,103.784
2476.1516,103.77
2478.0801,103.771
2480.0085,103.782
2481.9370,103.794
2483.8655,103.798
2485.7939,103.794
2487.7224,103.784
2489.6509,103.773
2491.5793,103.763
2493.5078,103.753
2495.4363,103.741
2497.3647,103.728
2499.2932,103.717
2501.2217,103.715
2503.1501,103.72
2505.0786,103.727
2507.0071,103.727
2508.9355,103.715
2510.8640,103.694
2512.7925,103.673
2514.7209,103.664
2516.6494,103.67
2518.5779,103.686
2520.5063,103.697
2522.4348,103.689
2524.3633,103.66
2526.2917,103.616
2528.2202,103.574
2530.1487,103.546
2532.0771,103.537
2534.0056,103.547
2535.9341,103.567
2537.8625,103.587
2539.7910,103.602
2541.7195,103.607
2543.6479,103.6
2545.5764,103.585
2547.5049,103.567
2549.4333,103.553
2551.3618,103.545
2553.2903,103.542
2555.2188,103.539
2557.1472,103.529
2559.0757,103.513
2561.0042,103.496
2562.9326,103.485
2564.8611,103.482
2566.7896,103.483
2568.7180,103.479
2570.6465,103.462
2572.5750,103.433
2574.5034,103.401
2576.4319,103.373
2578.3604,103.358
2580.2888,103.353
2582.2173,103.354
2584.1458,103.354
2586.0742,103.348
2588.0027,103.334
2589.9312,103.312
2591.8596,103.285
2593.7881,103.256
2595.7166,103.228
2597.6450,103.206
2599.5735,103.191
2601.5020,103.183
2603.4304,103.177
2605.3589,103.168
2607.2874,103.154
2609.2158,103.132
2611.1443,103.102
2613.0728,103.065
2615.0012,103.022
2616.9297,102.976
2618.8582,102.931
2620.7866,102.892
2622.7151,102.859
2624.6436,102.831
2626.5720,102.804
2628.5005,102.775
2630.4290,102.744
2632.3574,102.714
2634.2859,102.689
2636.2144,102.674
2638.1428,102.668
2640.0713,102.667
2641.9998,102.667
2643.9282,102.664
2645.8567,102.659
2647.7852,102.651
2649.7136,102.64
2651.6421,102.629
2653.5706,102.618
2655.4990,102.61
2657.4275,102.608
2659.3560,102.613
2661.2844,102.623
2663.2129,102.637
2665.1414,102.652
2667.0698,102.666
2668.9983,102.678
2670.9268,102.686
2672.8552,102.689
2674.7837,102.687
2676.7122,102.682
2678.6406,102.677
2680.5691,102.673
2682.4976,102.673
2684.4260,102.675
2686.3545,102.675
2688.2830,102.672
2690.2114,102.664
2692.1399,102.653
2694.0684,102.641
2695.9968,102.628
2697.9253,102.614
2699.8538,102.597
2701.7822,102.578
2703.7107,102.557
2705.6392,102.534
2707.5676,102.509
2709.4961,102.483
2711.4246,102.456
2713.3530,102.428
2715.2815,102.4
