TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
794.5284,99.8559
796.4568,99.8347
798.3853,99.8001
800.3138,99.747
802.2422,99.6799
804.1707,99.6143
806.0992,99.5735
808.0276,99.5787
809.9561,99.6393
811.8846,99.7487
813.8130,99.8859
815.7415,100.024
817.6700,100.138
819.5984,100.217
821.5269,100.261
823.4554,100.278
825.3839,100.28
827.3123,100.267
829.2408,100.23
831.1693,100.152
833.0977,100.022
835.0262,99.8477
836.9547,99.6646
838.8831,99.5241
840.8116,99.4733
842.7401,99.5324
844.6685,99.6842
846.5970,99.883
848.5255,100.076
850.4539,100.226
852.3824,100.323
854.3109,100.377
856.2393,100.409
858.1678,100.433
860.0963,100.456
862.0247,100.479
863.9532,100.503
865.8817,100.529
867.8101,100.561
869.7386,100.601
871.6671,100.644
873.5955,100.687
875.5240,100.725
877.4525,100.753
879.3809,100.773
881.3094,100.784
883.2379,100.788
885.1663,100.78
887.0948,100.752
889.0233,100.695
890.9517,100.602
892.8802,100.482
894.8087,100.352
896.7371,100.241
898.6656,100.174
900.5941,100.161
902.5225,100.197
904.4510,100.261
906.3795,100.327
908.3079,100.377
910.2364,100.402
912.1649,100.406
914.0934,100.399
916.0219,100.388
917.9503,100.376
919.8788,100.364
921.8073,100.353
923.7357,100.345
925.6642,100.342
927.5927,100.343
929.5211,100.349
931.4496,100.355
933.3781,100.363
935.3065,100.372
937.2350,100.389
939.1635,100.417
941.0919,100.458
943.0204,100.511
944.9489,100.571
946.8773,100.629
948.8058,100.679
950.7343,100.719
952.6627,100.749
954.5912,100.775
956.5197,100.798
958.4481,100.813
960.3766,100.802
962.3051,100.738
964.2335,100.601
966.1620,100.394
968.0905,100.153
970.0189,99.9447
971.9474,99.8424
973.8759,99.8928
975.8043,100.095
977.7328,100.398
979.6613,100.724
981.5897,100.995
983.5182,101.151
985.4467,101.163
987.3751,101.028
989.3036,100.765
991.2321,100.417
993.1605,100.049
995.0890,99.7347
997.0175,99.5394
998.9459,99.496
1000.8744,99.5927
1002.8029,99.7778
1004.7313,99.9826
1006.6598,100.148
1008.5883,100.244
1010.5167,100.27
1012.4452,100.245
1014.3737,100.189
1016.3021,100.119
1018.2306,100.037
1020.1591,99.9437
1022.0875,99.836
1024.0160,99.7125
1025.9445,99.5751
1027.8729,99.4289
1029.8014,99.2814
1031.7299,99.1408
1033.6583,99.0135
1035.5868,98.902
1037.5153,98.8049
1039.4437,98.7194
1041.3722,98.6437
1043.3007,98.5789
1045.2291,98.5282
1047.1576,98.4946
1049.0861,98.4781
1051.0145,98.475
1052.9430,98.4785
1054.8715,98.4821
1056.7999,98.4816
1058.7284,98.4756
1060.6569,98.4646
1062.5853,98.4481
1064.5138,98.424
1066.4423,98.3888
1068.3707,98.3394
1070.2992,98.2759
1072.2277,98.2014
1074.1561,98.1211
1076.0846,98.0397
1078.0131,97.9594
1079.9415,97.8791
1081.8700,97.7967
1083.7985,97.711
1085.7269,97.6232
1087.6554,97.5362
1089.5839,97.4532
1091.5123,97.3759
1093.4408,97.3044
1095.3693,97.2387
1097.2977,97.1805
1099.2262,97.1328
1101.1547,97.0994
1103.0831,97.0824
1105.0116,97.0813
1106.9401,97.0929
1108.8685,97.1138
1110.7970,97.142
1112.7255,97.1775
1114.6539,97.2218
1116.5824,97.2764
1118.5109,97.3422
1120.4393,97.4195
1122.3678,97.5074
1124.2963,97.6044
1126.2247,97.7069
1128.1532,97.8093
1130.0817,97.9047
1132.0101,97.9869
1133.9386,98.0525
1135.8671,98.1014
1137.7955,98.1358
1139.7240,98.1577
1141.6525,98.1676
1143.5809,98.1646
1145.5094,98.1488
1147.4379,98.1239
1149.3663,98.0972
1151.2948,98.0762
1153.2233,98.0644
1155.1517,98.058
1157.0802,98.0479
1159.0087,98.0259
1160.9371,97.9924
1162.8656,97.9612
1164.7941,97.9569
1166.7225,98.0066
1168.6510,98.1277
1170.5795,98.3211
1172.5079,98.5695
1174.4364,98.8444
1176.3649,99.1151
1178.2933,99.3575
1180.2218,99.5591
1182.1503,99.718
1184.0787,99.8396
1186.0072,99.9312
1187.9357,99.9992
1189.8641,100.048
1191.7926,100.082
1193.7211,100.104
1195.6495,100.12
1197.5780,100.134
1199.5065,100.148
1201.4349,100.16
1203.3634,100.166
1205.2919,100.16
1207.2203,100.14
1209.1488,100.106
1211.0773,100.062
1213.0057,100.015
1214.9342,99.9708
1216.8627,99.9321
1218.7911,99.9003
1220.7196,99.8753
1222.6481,99.8569
1224.5765,99.8449
1226.5050,99.8394
1228.4335,99.8398
1230.3619,99.8453
1232.2904,99.8541
1234.2189,99.8643
1236.1473,99.8737
1238.0758,99.8805
1240.0043,99.8828
1241.9327,99.8787
1243.8612,99.8658
1245.7897,99.8424
1247.7181,99.8081
1249.6466,99.7661
1251.5751,99.7237
1253.5035,99.6919
1255.4320,99.6817
1257.3605,99.7006
1259.2889,99.7487
1261.2174,99.819
1263.1459,99.9003
1265.0743,99.9818
1267.0028,100.058
1268.9313,100.127
1270.8597,100.19
1272.7882,100.246
1274.7167,100.292
1276.6451,100.322
1278.5736,100.329
1280.5021,100.312
1282.4305,100.275
1284.3590,100.223
1286.2875,100.165
1288.2159,100.108
1290.1444,100.055
1292.0729,100.008
1294.0013,99.9645
1295.9298,99.9261
1297.8583,99.8953
1299.7867,99.8763
1301.7152,99.8717
1303.6437,99.8782
1305.5721,99.8852
1307.5006,99.879
1309.4291,99.8502
1311.3575,99.8012
1313.2860,99.7467
1315.2145,99.7074
1317.1429,99.6996
1319.0714,99.7278
1320.9999,99.7838
1322.9283,99.8516
1324.8568,99.91
1326.7853,99.9344
1328.7137,99.8987
1330.6422,99.7831
1332.5707,99.5882
1334.4991,99.3472
1336.4276,99.1238
1338.3561,98.9882
1340.2845,98.9784
1342.2130,99.0743
1344.1415,99.2085
1346.0699,99.302
1347.9984,99.2977
1349.9269,99.1732
1351.8553,98.9379
1353.7838,98.6246
1355.7123,98.2833
1357.6407,97.9726
1359.5692,97.7382
1361.4977,97.5741
1363.4261,97.3932
1365.3546,97.0472
1367.2831,96.4055
1369.2115,95.4523
1371.1400,94.3455
1373.0685,93.3928
1374.9969,92.9279
1376.9254,93.1388
1378.8539,93.9696
1380.7823,95.1666
1382.7108,96.414
1384.6393,97.4563
1386.5677,98.1615
1388.4962,98.5239
1390.4247,98.6272
1392.3531,98.592
1394.2816,98.5305
1396.2101,98.5209
1398.1385,98.5983
1400.0670,98.7571
1401.9955,98.9623
1403.9240,99.1655
1405.8524,99.3197
1407.7809,99.3882
1409.7094,99.349
1411.6378,99.2003
1413.5663,98.9666
1415.4948,98.7065
1417.4232,98.5075
1419.3517,98.4493
1421.2802,98.5465
1423.2086,98.7246
1425.1371,98.8643
1427.0656,98.8706
1428.9940,98.7117
1430.9225,98.4263
1432.8510,98.1062
1434.7794,97.8503
1436.7079,97.6991
1438.6364,97.6009
1440.5648,97.447
1442.4933,97.141
1444.4218,96.6439
1446.3502,95.9778
