TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
1636.3042,102.302
1637.2684,102.436
1638.2327,102.61
1639.1969,102.761
1640.1611,102.859
1641.1254,102.894
1642.0896,102.861
1643.0538,102.757
1644.0181,102.583
1644.9823,102.367
1645.9465,102.167
1646.9108,102.049
1647.8750,102.022
1648.8392,102.038
1649.8035,102.042
1650.7677,102.007
1651.7319,101.957
1652.6962,101.978
1653.6604,102.155
1654.6246,102.443
1655.5889,102.724
1656.5531,102.932
1657.5173,103.062
1658.4816,103.126
1659.4458,103.139
1660.4100,103.128
1661.3743,103.121
1662.3385,103.142
1663.3027,103.181
1664.2670,103.207
1665.2312,103.19
1666.1954,103.118
1667.1597,103.004
1668.1239,102.884
1669.0881,102.808
1670.0524,102.814
1671.0166,102.892
1671.9808,103.006
1672.9451,103.124
1673.9093,103.234
1674.8735,103.328
1675.8378,103.393
1676.8020,103.41
1677.7662,103.366
1678.7305,103.265
1679.6947,103.118
1680.6589,102.945
1681.6232,102.784
1682.5874,102.696
1683.5516,102.744
1684.5159,102.919
1685.4801,103.139
1686.4443,103.337
1687.4086,103.499
1688.3728,103.643
1689.3370,103.78
1690.3013,103.902
1691.2655,103.987
1692.2297,104.01
1693.1940,103.948
1694.1582,103.796
1695.1224,103.574
1696.0867,103.333
1697.0509,103.147
1698.0151,103.08
1698.9794,103.153
1699.9436,103.322
1700.9078,103.514
1701.8721,103.671
1702.8363,103.782
1703.8005,103.872
1704.7648,103.971
1705.7290,104.097
1706.6932,104.244
1707.6575,104.382
1708.6217,104.477
1709.5859,104.507
1710.5502,104.463
1711.5144,104.344
1712.4786,104.155
1713.4429,103.909
1714.4071,103.644
1715.3713,103.436
1716.3356,103.38
1717.2998,103.525
1718.2640,103.807
1719.2283,104.103
1720.1925,104.335
1721.1567,104.488
1722.1210,104.583
1723.0852,104.642
1724.0494,104.673
1725.0137,104.673
1725.9779,104.626
1726.9421,104.52
1727.9064,104.356
1728.8706,104.146
1729.8348,103.913
1730.7991,103.69
1731.7633,103.515
1732.7275,103.43
1733.6918,103.451
1734.6560,103.545
1735.6202,103.652
1736.5845,103.732
1737.5487,103.77
1738.5129,103.77
1739.4772,103.738
1740.4414,103.684
1741.4056,103.619
1742.3699,103.554
1743.3341,103.495
1744.2983,103.436
1745.2626,103.372
1746.2268,103.303
1747.1910,103.245
1748.1553,103.238
1749.1195,103.327
1750.0837,103.53
1751.0480,103.806
1752.0122,104.086
1752.9764,104.318
1753.9407,104.481
1754.9049,104.585
1755.8691,104.648
1756.8334,104.691
1757.7976,104.726
1758.7618,104.762
1759.7261,104.804
1760.6903,104.858
1761.6545,104.927
1762.6188,104.999
1763.5830,105.054
1764.5472,105.072
1765.5115,105.042
1766.4757,104.966
1767.4399,104.859
1768.4042,104.743
1769.3684,104.646
1770.3326,104.594
