TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
2994.9092,102.75
2996.8376,102.78
2998.7661,102.807
3000.6946,102.832
3002.6230,102.856
3004.5515,102.877
3006.4800,102.893
3008.4084,102.903
3010.3369,102.909
3012.2654,102.912
3014.1938,102.914
3016.1223,102.917
3018.0508,102.92
3019.9792,102.921
3021.9077,102.918
3023.8362,102.91
3025.7646,102.9
3027.6931,102.89
3029.6216,102.884
3031.5500,102.886
3033.4785,102.897
3035.4070,102.912
3037.3354,102.929
3039.2639,102.943
3041.1924,102.951
3043.1208,102.953
3045.0493,102.952
3046.9778,102.948
3048.9063,102.943
3050.8347,102.937
3052.7632,102.93
3054.6917,102.92
3056.6201,102.91
3058.5486,102.9
3060.4771,102.893
3062.4055,102.889
